,positivo_score
comprarei sempre,0.00017238150767044525
tudo certo com produto,0.00017220815597480672
dentro do prazo de,0.00030264564254050354
otima entrega,0.00017207335406052327
sem problemas recomendo,0.00017194162269400413
muito bom recebi antes,0.00017150067875495393
antes da previsão,0.00017091233767507476
tudo excelente,0.0001708882496155407
qualidade muito boa,0.00018592933856518878
muito bom produto entregue,0.00017044146335931252
prazo produto de boa,0.00017009922878880618
no prazo amei,0.00017006232392469345
recebi tudo certo,0.00016972085198582127
eu adorei,0.00020232481396205917
veio em perfeito estado,0.00016920280775939843
ok conforme,0.00016885406102304306
produto prazo de entrega,0.00019696873458325789
produto ótimo recomendo,0.00016773526724877754
bom material,0.00021481710918870751
gostei do atendimento,0.00020642268618143846
adorei as,0.0001675432325371841
bem acondicionado,0.00016698067746481044
recomendadíssimo,0.00016686142582356735
recomendo chegou antes do,0.00016673891602000016
muito bom entregue antes,0.00016668909351640144
veio muito bem embalado,0.00019342863671397074
antes prazo,0.00017521282118810916
recomendo tudo,0.00016638578602881708
produto chegou em perfeitas,0.00018638987835452938
vale pena comprar,0.0001858680585674664
produto foi entregue no,0.0003666680566044924
no prazo em perfeito,0.00017606608714608506
bom entrega antes do,0.00018574309708414746
tudo conforme esperado,0.00016525924966603043
super recomendo chegou,0.00016525497352767318
super confiável,0.00016500759799043118
prestativo,0.00016499702553661208
dentro do prazo estabelecido,0.00020747050527365757
chegou muito bem embalado,0.00016472134514570872
produto bom recomendo,0.00019417593628975242
material resistente,0.00016446404882033944
mais rápido do que,0.00017518759975307084
qualidade entregue antes do,0.00016396999745566562
comprar aqui,0.0001729771251195025
gostei do serviço,0.00016394582048270777
no atendimento,0.0002290280603970485
recomendo produto muito bom,0.00016377094223448614
adoreiiii,0.00016376559347378432
produto conforme esperado,0.00018539552566838405
fui muito bem atendida,0.00016348310825952279
de acordo com anunciado,0.00017380281040161206
lindo de ótima qualidade,0.0001628259409338097
produto perfeito entrega,0.00016280214322402135
material de qualidade,0.0002190402698110476
certo dentro do prazo,0.00018239585885801367
recomendo todos que,0.00016221360968098823
antes do prazo obrigada,0.00016216167446774155
estado antes do prazo,0.00017108204554498816
melhor ainda,0.0001620306244337552
do prazo muito satisfeita,0.00016189695978145388
funcionando bem,0.00016066109302107932
em tudo,0.0002061167610020392
material excelente,0.0001712045167150208
tudo certo conforme,0.00015987948570608338
atendeu as minhas expectativas,0.00020101087983911788
de acordo com descrição,0.00018455852080995073
produtos de ótima qualidade,0.00018425283276101638
em tempo recorde,0.0001592513210005406
produto superou minhas expectativas,0.00015921867161610876
para compras,0.00015919015458880516
satisfeita com minha compra,0.00017461637911549973
irei comprar,0.00015883730773654287
excelente entrega antes do,0.00015872200350319174
gostei demais,0.00015822545135169163
super rápida produto de,0.00017276043359141035
do prazo produto excelente,0.00015763385792888677
atendimento entrega antes do,0.0001568769028874644
agradecido,0.00015684355869803577
tapete lindo,0.00015677557367683905
tudo entregue corretamente,0.00015631805166219114
do prazo produto veio,0.00017351600751033347
ótima qualidade chegou antes,0.00015570997233776507
10 dias antes do,0.0001555499383015724
superou expectativa,0.00015554947087628558
bom trabalho,0.00015550070040293003
antes do previsto produto,0.0001554664041432152
foi entregue dentro do,0.00034213285963481926
bom custo benefício,0.0002427039764574765
antes do prazo bom,0.00015485425439576368
indico loja,0.0001547153649921442
chegou no prazo tudo,0.00015449602954980686
gostou muito,0.00015436651805067277
do prazo produto ótimo,0.00015419638505860132
antes do prazo limite,0.00015397578647242155
entregue no prazo produto,0.0001539111523010615
macios,0.00015388722193870297
rápida produto de ótima,0.0001537353416075714
rápido produto de,0.0001537040714527228
